PropertyID,SaleDollarCnt,TransDate,censusblockgroup,ZoneCodeCounty,Usecode,BedroomCnt,BathroomCnt,FinishedSquareFeet,GarageSquareFeet,LotSizeSquareFeet,StoryCnt,BuiltYear,ViewType,Latitude,Longitude,BGMedHomeValue,BGMedRent,BGMedYearBuilt,BGPctOwn,BGPctVacant,BGMedIncome,BGPctKids,BGMedAge,Prediction
48649479,315000,9/26/2015,530330299023,R5,9,3,3,3020,,27229,1,2000,79,47314497,-122254904,354400,1186,1985,0.8754,0.0796,101071,0.3446,40.3,378008.2666480483
48649878,219950,4/21/2015,530330306001,R7,9,3,2,1070,520,6601,1,1985,,47311453,-122208799,250600,933,1956,0.6612,0,46826,0.2564,39.7,
48650240,1038000,4/1/2015,530330245002,R8.4,9,5,2.75,3050,420,8904,1,1956,,47570850,-122214353,621000,2001,1960,0.7631,0.0445,139375,0.3592,45.9,991811.0696039217
48650786,330000,7/7/2015,530330282003,LDR,9,3,2,2290,540,6500,2,2014,,47467200,-122283929,313300,794,1980,0.2203,0.1006,31731,0.2864,33.4,549512.0482172744
48651419,785000,9/29/2015,530330106001,SF 5000,9,5,3,3200,,6550,2,2015,,47548961,-122380792,448700,681,1947,0.8085,0.0591,135729,0.3582,38.5,1015979.2084813346
48651585,385000,8/29/2015,530330275002,RS7200,9,3,2,2260,460,19600,2,1942,,47487553,-122337214,236400,807,1950,0.8329,0.0188,61067,0.137,52.5,433770.16227031616
48652439,273500,9/26/2015,530330303082,RS7.2,9,3,2,1550,460,7210,1,1983,,47313987,-122354468,264700,780,1985,0.6082,0.0988,72857,0.5292,31.2,285726.62834808556
48654551,305000,7/30/2015,530330266001,R6,9,3,1,1300,,7879,1,1944,,47514073,-122360126,258300,1095,1953,0.3978,0.0312,53024,0.3763,36.9,
48655314,719950,7/18/2015,530330202003,R6,9,3,1,1590,,26172,2,1949,,47770970,-122375899,394300,916,1967,0.6766,0.1061,81813,0.2047,55.8,603283.3012415313
48655478,699950,6/18/2015,530330202005,R6,9,5,3.75,3380,490,15493,2,1969,,47768198,-122367465,387800,1262,1968,0.6629,0.0628,91336,0.4442,36.3,985060.8347828052
