Date,Confirmed
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,1.0
2020-01-25,0.0
2020-01-26,3.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,1.0
2020-01-30,0.0
2020-01-31,2.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,3.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,1.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,1.0
2020-02-12,0.0
2020-02-13,1.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,2.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,1.0
2020-02-28,0.0
2020-02-29,8.0
2020-03-01,7.0
2020-03-02,22.0
2020-03-03,20.0
2020-03-04,33.0
2020-03-05,77.0
2020-03-06,53.0
2020-03-07,166.0
2020-03-08,116.0
2020-03-09,70.0
2020-03-10,193.0
2020-03-11,363.0
2020-03-12,439.0
2020-03-13,630.0
2020-03-14,757.0
2020-03-15,240.0
2020-03-16,1448.0
2020-03-17,1786.0
2020-03-18,2640.0
2020-03-19,4489.0
2020-03-20,6361.0
2020-03-21,5984.0
2020-03-22,8806.0
2020-03-23,11171.0
2020-03-24,10598.0
2020-03-25,12012.0
2020-03-26,17912.0
2020-03-27,18608.0
2020-03-28,19523.0
2020-03-29,18971.0
2020-03-30,21943.0
2020-03-31,26433.0
2020-04-01,25682.0
2020-04-02,30456.0
2020-04-03,31987.0
2020-04-04,32981.0
2020-04-05,28091.0
2020-04-06,30236.0
2020-04-07,31436.0
2020-04-08,31969.0
2020-04-09,34592.0
2020-04-10,33528.0
2020-04-11,29441.0
2020-04-12,26871.0
2020-04-13,25922.0
2020-04-14,28647.0
2020-04-15,29946.0
2020-04-16,31428.0
2020-04-17,32918.0
2020-04-18,27781.0
2020-04-19,25660.0
2020-04-20,28501.0
2020-04-21,25979.0
2020-04-22,29261.0
2020-04-23,33284.0
2020-04-24,33602.0
2020-04-25,31984.0
2020-04-26,26918.0
2020-04-27,23055.0
2020-04-28,24746.0
2020-04-29,27703.0
2020-04-30,29670.0
2020-05-01,34071.0
2020-05-02,28176.0
2020-05-03,24446.0
2020-05-04,23287.0
2020-05-05,24657.0
2020-05-06,25077.0
2020-05-07,27767.0
2020-05-08,26883.0
2020-05-09,24954.0
2020-05-10,19044.0
2020-05-11,19456.0
2020-05-12,22682.0
2020-05-13,20988.0
2020-05-14,27130.0
2020-05-15,25082.0
2020-05-16,24164.0
2020-05-17,18250.0
2020-05-18,22023.0
2020-05-19,20571.0
2020-05-20,23703.0
2020-05-21,25127.0
2020-05-22,24088.0
2020-05-23,21378.0
