New York,California,Florida,Texas,New Jersey,Illinois,Massachusetts,Georgia,Pennsylvania,Michigan
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,1,0,0,0,0
0,2,0,0,0,1,0,0,0,0
0,2,0,0,0,1,0,0,0,0
0,2,0,0,0,1,0,0,0,0
0,2,0,0,0,1,0,0,0,0
0,2,0,0,0,1,0,0,0,0
0,3,0,0,0,2,0,0,0,0
0,3,0,0,0,2,1,0,0,0
0,3,0,0,0,2,1,0,0,0
0,6,0,0,0,2,1,0,0,0
0,6,0,0,0,2,1,0,0,0
0,6,0,0,0,2,1,0,0,0
0,6,0,0,0,2,1,0,0,0
0,6,0,0,0,2,1,0,0,0
0,6,0,0,0,2,1,0,0,0
0,6,0,0,0,2,1,0,0,0
0,6,0,0,0,2,1,0,0,0
0,7,0,0,0,2,1,0,0,0
0,7,0,0,0,2,1,0,0,0
0,8,0,0,0,2,1,0,0,0
0,8,0,0,0,2,1,0,0,0
0,8,0,0,0,2,1,0,0,0
0,8,0,0,0,2,1,0,0,0
0,8,0,0,0,2,1,0,0,0
0,8,0,0,0,2,1,0,0,0
0,8,0,0,0,2,1,0,0,0
0,8,0,0,0,2,1,0,0,0
0,10,0,0,0,2,1,0,0,0
0,10,0,0,0,2,1,0,0,0
0,10,0,0,0,2,1,0,0,0
0,10,0,0,0,2,1,0,0,0
0,10,0,0,0,2,1,0,0,0
0,10,0,0,0,2,1,0,0,0
0,11,0,0,0,2,1,0,0,0
0,11,0,0,0,2,1,0,0,0
0,12,0,0,0,2,1,0,0,0
0,12,0,0,0,3,1,0,0,0
1,21,1,0,0,4,1,0,0,0
2,25,2,0,0,4,2,2,0,0
11,35,2,0,0,4,2,2,0,0
23,51,3,3,2,5,2,2,0,0
31,59,3,4,2,5,6,3,2,0
76,81,7,8,4,6,6,5,2,0
106,95,10,11,5,7,22,5,6,0
142,101,13,13,5,7,22,10,7,0
150,144,15,16,15,12,41,17,12,0
220,178,24,21,23,25,92,23,16,2
327,221,30,27,29,32,107,31,22,3
421,281,50,44,49,46,123,42,41,24
613,372,76,60,69,64,138,73,47,36
615,373,100,63,72,66,138,99,47,45
967,557,101,85,176,83,187,121,79,76
1578,700,190,110,250,161,217,146,112,90
3038,831,306,196,397,272,252,197,155,159
5704,1009,432,306,741,422,328,287,206,314
8403,1243,564,429,890,585,413,485,311,471
11727,1412,763,582,1327,753,523,555,399,625
15800,1651,1004,643,1914,1049,640,621,509,1131
20884,2113,1227,758,2844,1285,777,772,698,1454
25681,2542,1412,955,3675,1537,1159,1026,946,1942
30841,3009,1682,1229,4402,1865,1838,1247,1260,2468
37877,3910,2357,1563,6876,2538,2417,1525,1795,3032
44876,4679,2900,1937,8825,3024,3240,2000,2345,3848
52410,5110,3763,2455,11124,3491,4257,2366,2845,4890
59648,5863,4246,2792,13386,4596,4955,2651,3432,5753
66663,7155,5473,3147,16636,5056,5752,2808,4155,6803
75833,8233,6741,3809,18696,5994,6620,3929,4963,7951
83948,9410,6956,4355,22255,6980,7738,4638,6009,9717
92506,10790,9008,5069,25590,7695,8966,5348,7268,11230
