State_id,State,Population,Confirmed,Deaths,Active,Confirmed_new,Confirmed_per_100k,Deaths_per_100k_confirmed,Actives_per_100k
AK,Alaska,725786.0,7712,56,7656.0,125,17.22270751984745,726.1410788381743,1054.8563901756165
AL,Alabama,4903185.0,153554,2517,151037.0,571,11.645491654914101,1639.1627701004209,3080.3855045241
AR,Arkansas,3017804.0,82755,1350,81405.0,706,23.394494804831595,1631.321370309951,2697.491288367303
AZ,Arizona,7278717.0,218184,5632,212553.0,674,9.259873683782459,2581.307520258131,2920.1987108442327
CA,California,39512223.0,815654,15782,799819.0,2943,7.448328078124079,1934.8890583507223,2024.2318433969153
CO,Colorado,5758736.0,70004,2046,67958.0,535,9.290233134493404,2922.6901319924577,1180.0853520633693
CT,Connecticut,3565287.0,57329,4505,52824.0,182,5.104778381095267,7858.15206963317,1481.6198527636063
DC,District of Columbia,705749.0,15300,626,14674.0,36,5.100963657050878,4091.503267973856,2079.209463987905
DE,Delaware,973764.0,20531,635,19896.0,142,14.582588799750248,3092.8839316156054,2043.2055405621895
FL,Florida,21477737.0,704568,14143,690425.0,3266,15.206443770123453,2007.3293138490537,3214.607758722439
GA,Georgia,10617423.0,316306,6994,309312.0,1025,9.653943334460726,2211.1499623782033,2913.249288457284
HI,Hawaii,1415786.0,12290,134,12156.0,87,6.144996489582464,1090.3173311635476,858.604337096143
IA,Iowa,3155070.0,88235,1341,86894.0,978,30.99772746721943,1519.8050660168867,2754.1068819392276
ID,Idaho,1787065.0,41434,464,40970.0,511,28.594371217611002,1119.8532606072308,2292.585888034291
IL,Illinois,12671821.0,293448,8881,284567.0,1366,10.779823988991007,3026.4305771380277,2245.667769454761
IN,Indiana,6732219.0,119066,3612,115454.0,744,11.051333891544527,3033.6116103673594,1714.947181605352
KS,Kansas,2913314.0,58350,651,57699.0,387,13.28384101404792,1115.6812339331618,1980.5280172339817
KY,Kentucky,4467673.0,67856,1170,66686.0,917,20.525226443385627,1724.2395661400612,1492.6338610726434
LA,Louisiana,4648794.0,165624,5490,160134.0,533,11.465339182592302,3314.7369946384583,3444.635318321268
MA,Massachusetts,6892503.0,131584,9423,122161.0,512,7.428360930709786,7161.205009727627,1772.3749993289812
MD,Maryland,6045680.0,124311,3946,120365.0,431,7.129057442669808,3174.2967235401534,1990.9257519418823
ME,Maine,1344212.0,5337,141,5196.0,37,2.752542009742511,2641.9336706014615,386.54616980059694
MI,Michigan,9986857.0,136820,7072,129748.0,1118,11.194713211573971,5168.834965648297,1299.1875221603755
MN,Minnesota,5639632.0,98447,2072,96375.0,809,14.344907610993058,2104.685770008228,1708.8880976631099
MO,Missouri,6626371.0,126531,2066,124465.0,266,4.014263614276954,1632.8014478665307,1878.3282734999293
MP,Northern Mariana Islands,55144.0,70,2,68.0,0,0.0,2857.142857142857,123.31350645582474
MS,Mississippi,2976149.0,97638,2957,94681.0,589,19.790675802857987,3028.533972428768,3181.32593495823
MT,Montana,1068778.0,12724,177,12547.0,311,29.0986528540071,1391.0719899402704,1173.9575477788653
NC,North Carolina,10488084.0,209136,3494,205642.0,910,8.67651326972591,1670.6831917986383,1960.7203756186543
ND,North Dakota,762062.0,21401,239,21162.0,418,54.8511800877094,1116.7702443811036,2776.9394091294407
NE,Nebraska,1934408.0,45044,478,44566.0,466,24.09005752664381,1061.184619483172,2303.8573041467985
NH,New Hampshire,1359711.0,8233,439,7794.0,25,1.8386260021431025,5332.199684197741,573.2100424281336
NJ,New Jersey,8882190.0,204563,16117,188446.0,456,5.133869012034195,7878.746400864281,2121.6164031618327
NM,New Mexico,2096829.0,29157,875,28282.0,172,8.202862512870626,3000.994615358233,1348.7985906337617
NV,Nevada,3080156.0,79595,1593,78002.0,404,13.116218788918482,2001.381996356555,2532.404202904009
NY,New York,19453561.0,457649,33144,424505.0,1189,6.11199152689834,7242.23149182015,2182.145469407889
OH,Ohio,11689100.0,152907,4783,148124.0,1105,9.453251319605444,3128.0451516281137,1267.1976456698976
OK,Oklahoma,3956971.0,86219,1018,85201.0,1025,25.90365206113464,1180.7142277224277,2153.1873748885196
OR,Oregon,4217737.0,33291,555,32736.0,297,7.041690840372455,1667.1172388933946,776.1508126277196
PA,Pennsylvania,12801989.0,163180,8101,155079.0,1586,12.388699912177708,4964.4564284838825,1211.3664525098404
PR,Puerto Rico,3754939.0,48467,654,47813.0,1045,27.830012684626833,1349.3717374708565,1273.3362645837922
RI,Rhode Island,1059361.0,24556,1113,23443.0,132,12.460341658792421,4532.497149372862,2212.9377992959908
SC,South Carolina,5148714.0,147634,3359,144275.0,1179,22.898921944392328,2275.2211550184916,2802.156033526042
SD,South Dakota,884659.0,21997,223,21774.0,259,29.276817395177122,1013.7746056280401,2461.2873434848907
TN,Tennessee,6829174.0,194611,2420,192191.0,879,12.871249143747105,1243.5062766236235,2814.264214090899
TX,Texas,28995881.0,767264,15902,751362.0,6066,20.920212770910464,2072.5591191558574,2591.2714981827935
UT,Utah,3205958.0,72136,457,71679.0,694,21.647195627640787,633.5255628257736,2235.8059587804955
VA,Virginia,8535519.0,147345,3185,144160.0,901,10.555890040195564,2161.5935389731585,1688.9424064312902
VI,Virgin Islands,107268.0,1318,20,1298.0,0,0.0,1517.4506828528074,1210.0533243837863
VT,Vermont,623989.0,1749,58,1691.0,4,0.6410369413563379,3316.180674671241,270.9983669583919
WA,Washington,7614893.0,87042,2124,84918.0,404,5.305392997642908,2440.2012821396565,1115.1568380540607
WI,Wisconsin,5822434.0,119955,1300,118655.0,2367,40.65310143489819,1083.7397357342336,2037.893430822917
WV,West Virginia,1792147.0,15693,350,15343.0,177,9.876421967617611,2230.293761549736,856.1239675093616
WY,Wyoming,578759.0,5821,50,5771.0,67,11.576493842860327,858.9589417625838,997.1335218977157
