New_ID,date,year_month,byte_size,filetype,school_country,school_name,school_type,enrollment,first_subject_name,tag,page_count,hqd_score,is_mcq,top_keywords,language,course_id_,user_id_
880,2017-11-19,2017-11,48940,docx,United States,Fordham University,HIGHER,17901.0,accounting,paper,4.0,0.95683,,1,,0,0
881,2016-06-10,2016-06,5336,docx,United States,Rio Salado Community College,HIGHER,6086.0,economics,paper,1.0,0.77776,,0,english,1,1
882,2017-03-20,2017-03,18034,docx,United States,University of Phoenix,HIGHER,212044.0,sociology,paper,3.0,0.94462,,1,english,2,2
883,2018-01-28,2018-01,16518,docx,Canada,University of Waterloo,HIGHER,36670.0,history,notes,3.0,0.9698,,0,english,3,3
884,2017-06-11,2017-06,88860,docx,United States,"University of California, Santa Barbara",HIGHER,25833.0,sociology,notes,4.0,0.9661,,1,english,4,4
885,2016-10-20,2016-10,1235144,pdf,United States,"Baruch College, CUNY",HIGHER,22601.0,management,notes,22.0,0.90869,,0,english,5,5
886,2017-08-20,2017-08,17610,docx,United States,Ashford University,HIGHER,30000.0,english,assessment,1.0,0.90028,,0,english,6,6
887,2018-03-11,2018-03,150721,docx,Canada,University of Ottawa,HIGHER,37912.0,philosophy,paper,2.0,0.94835,,0,en,7,7
888,2016-07-21,2016-07,53860,pdf,United States,University of Wisconsin,HIGHER,46350.0,statistics,assessment,5.0,0.94726,,0,english,8,8
889,2017-07-09,2017-07,163,c,Canada,Simon Fraser University,HIGHER,34990.0,computer_science,assessment,1.0,0.76923,,0,english,9,9
890,2017-11-19,2017-11,2162029,pdf,Australia,The University of Sydney,HIGHER,59129.0,mechanical_engineering,paper,41.0,0.89956,,1,english,10,10
891,2018-03-08,2018-03,25413,docx,United States,Temple University,HIGHER,43150.0,management,paper,5.0,0.95387,,0,en,11,11
892,2017-12-07,2017-12,75258,pdf,United States,"University of Texas, Arlington",HIGHER,59019.0,mathematics,assessment,2.0,0.8774299999999999,1.0,1,english,12,12
893,2018-03-04,2018-03,14647,docx,United States,Middle Tennessee State University,HIGHER,26214.0,nursing,assessment,2.0,0.95469,,1,en,13,13
894,2017-05-05,2017-05,758272,doc,United States,Winter Park High,HIGH,3172.0,chemistry,notes,10.0,0.95351,,0,english,14,14
895,2016-10-18,2016-10,4929,docx,United States,Christian Academy of Knoxville,HIGH,1173.0,philosophy,paper,1.0,0.90004,,0,english,15,15
896,2017-08-23,2017-08,15593,docx,United States,Kaplan University,HIGHER,45355.0,nursing,paper,2.0,0.96092,,1,english,16,16
897,2017-12-03,2017-12,200437,pdf,United States,"Miami Dade College, Miami",HIGHER,51015.0,psychology,paper,2.0,0.7622,,0,english,17,17
