Reporting Area,MMWR YEAR,MMWR WEEK,"All causes, by age (years), All Ages**","All causes, by age (years), All Ages**, flag","All causes, by age (years), >=65","All causes, by age (years), >=65, flag","All causes, by age (years), 45-64","All causes, by age (years), 45-64, flag","All causes, by age (years), 25-44","All causes, by age (years), 25-44, flag","All causes, by age (years), 1-24","All causes, by age (years), 1-24, flag","All causes, by age (years), LT 1","All causes, by age (years), LT 1, flag",P&I Total,"P&I Total, flag",Location 1,Location 2
New England,2016,1,600,,426,,125,,28,,12,,9,,47,,,
Mid. Atlantic,2016,1,807,,563,,181,,32,,13,,18,,32,,,
E.N. Central,2016,1,2468,,1611,,594,,167,,62,,34,,159,,,
W.N. Central,2016,1,634,,432,,150,,31,,9,,11,,37,,,
S. Atlantic,2016,1,1402,,893,,343,,92,,32,,41,,88,,,
E.S. Central,2016,1,1230,,790,,296,,97,,22,,25,,76,,,
W.S. Central,2016,1,2167,,1408,,542,,148,,40,,29,,124,,,
Mountain,2016,1,1460,,997,,316,,103,,26,,18,,95,,,
Pacific,2016,1,2021,,1480,,401,,99,,26,,15,,156,,,
Total,2016,1,12789,,8600,,2948,,797,,242,,200,,814,,,
"St. Petersburg, FL",2016,1,86,,62,,15,,4,,3,,2,,5,,"St. Petersburg, FL (27.772069, -82.638488)",
"Nashville, TN",2016,1,227,,143,,57,,21,,5,,1,,7,,"Nashville, TN (36.166687, -86.779932)",
"Washington, D.C.",2016,1,111,,62,,35,,9,,,-,5,,12,,"Washington, D.C. (38.892062, -77.019912)",
"Kansas City, MO",2016,1,59,,31,,17,,7,,2,,1,,3,,"Kansas City, MO (39.099792, -94.578559)",
"Sacramento, CA",2016,1,300,,203,,64,,25,,5,,3,,21,,"Sacramento, CA (38.582087, -121.50012)",
"Honolulu, HI",2016,1,56,,43,,7,,6,,,-,,-,5,,"Honolulu, HI (21.30992, -157.858158)",
"New York City, NY",2016,1,,U,,U,,U,,U,,U,,U,,U,"New York City, NY (40.123164, -75.333718)",
"Paterson, NJ",2016,1,21,,12,,5,,1,,1,,2,,,-,"Paterson, NJ (40.916612, -74.172191)",
"Gary, IN",2016,1,24,,14,,7,,2,,1,,,-,,-,"Gary, IN (42.375508, -87.924192)",
"Baltimore, MD",2016,1,228,,126,,63,,18,,8,,12,,14,,"Baltimore, MD (39.290443, -76.612333)",
"Philadelphia, PA",2016,1,,U,,U,,U,,U,,U,,U,,U,"Philadelphia, PA (39.951061, -75.16562)",
"Dayton, OH",2016,1,180,,125,,34,,16,,3,,2,,12,,"Dayton, OH (39.760982, -84.192203)",
"Corpus Christi, TX",2016,1,62,,45,,12,,3,,,-,2,,7,,"Corpus Christi, TX (27.796416, -97.404131)",
"Charlotte, NC",2016,1,196,,130,,48,,8,,7,,3,,12,,"Charlotte, NC (35.222936, -80.840161)",
"Utica, NY",2016,1,18,,16,,2,,,-,,-,,-,1,,"Utica, NY (39.800598, -104.997498)",
"Denver, CO",2016,1,40,,26,,9,,5,,,-,,-,1,,"Denver, CO (39.738453, -104.984853)",
"Little Rock, AR",2016,1,115,,62,,40,,8,,4,,1,,13,,"Little Rock, AR (34.748745, -92.275105)",
"Omaha, NE",2016,1,113,,71,,32,,6,,3,,1,,7,,"Omaha, NE (46.07035, -93.666319)",
"Des Moines, IA",2016,1,,-,,-,,-,,-,,-,,-,,-,"Des Moines, IA (41.588822, -93.620309)",
"San Diego, CA",2016,1,201,,148,,37,,12,,3,,1,,14,,"San Diego, CA (32.71576, -117.163817)",
"San Jose, CA",2016,1,272,,210,,49,,9,,3,,1,,15,,"San Jose, CA (35.398134, -105.477067)",
"Santa Cruz, CA",2016,1,48,,41,,6,,1,,,-,,-,5,,"Santa Cruz, CA (32.71576, -117.163817)",
