age,gender,user_id
51,f,0
49,f,1
35,m,2
63,m,3
27,f,4
59,f,5
39,f,6
42,f,7
34,f,8
26,f,9
52,f,10
43,f,11
45,m,12
53,f,13
38,f,14
54,f,15
52,f,16
51,m,17
24,f,18
49,f,19
50,f,20
41,m,21
36,f,22
56,m,23
40,f,24
39,f,25
62,f,26
42,f,27
39,f,28
27,f,29
28,m,30
42,m,31
27,m,32
52,m,33
38,f,34
28,f,35
25,f,36
39,f,37
34,m,38
47,f,39
41,m,40
45,f,41
29,f,42
31,f,43
32,f,44
39,m,45
43,f,46
61,m,47
33,f,48
37,f,49
41,f,50
30,f,51
61,f,52
31,f,53
46,f,54
42,f,55
51,f,56
25,f,57
29,m,58
29,m,59
53,m,60
35,f,61
28,m,62
38,f,63
62,m,64
50,f,65
51,m,66
33,m,67
53,f,68
50,f,69
52,f,70
42,m,71
33,m,72
45,f,73
54,m,74
35,f,75
37,f,76
33,f,77
35,m,78
53,f,79
36,f,80
51,f,81
33,f,82
29,m,83
33,m,84
33,f,85
46,f,86
45,f,87
35,f,88
37,m,89
60,m,200
35,f,201
41,m,220
53,m,225
48,m,226
56,m,227
